OTU_ID,SRR900226,SRR901079,SRR901080,SRR901081,SRR901082,SRR901083,SRR901084,SRR901085,SRR901086,SRR901087,SRR901088,SRR901089,SRR901090,SRR901091,SRR901092,SRR901093,SRR901094,SRR901095,SRR901097,SRR901098,SRR901100,SRR901101,SRR901102,SRR901104,SRR901107,SRR901108,SRR901109,SRR901111,SRR901112,SRR901113,SRR901114,SRR901115,SRR901116,SRR901118,SRR901119,SRR901120,SRR901121,SRR901122,SRR901123,SRR901124,SRR901125,SRR901126,SRR901127,SRR901128,SRR901129,SRR901130,SRR901131,SRR901132,SRR901133,SRR901134,SRR901135,SRR901136,SRR901137,SRR901138,SRR901139,SRR901140,SRR901141,SRR901142,SRR901143,SRR901144,Species Assignment,,,,
Otu01,0,0,3,0,1,15,0,0,0,0,79,0,0,44,22757,1005,5,729,1284,2202,1,135,1793,2433,1,245,513,0,1021,2205,3041,0,2930,0,0,0,0,23,6,1,0,40,0,0,0,7,0,1,0,65,0,0,2329,521,0,7,1272,4,33,4,Actinobacteria,Actinobacteria,Actinobacteria_unclassified,Actinobacteria_unclassified,Actinobacteria_unclassified
Otu02,0,0,0,0,0,0,0,0,0,0,51,0,0,0,18001,0,883,13,3,1,409,22,33,165,140,0,23,0,72,0,15,0,80,0,0,0,0,0,0,0,0,0,0,1866,2782,0,2339,2133,1064,7,2906,0,87,15,2406,0,1,13,0,472,Actinobacteria,Actinobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter
Otu03,0,0,0,29,2,0,0,0,0,0,1,0,0,12,12124,25,1967,308,208,197,870,21,108,693,133,6,114,16,399,36,366,2,91,0,0,0,0,0,0,0,0,0,0,412,643,16,526,689,380,23,611,3,429,25,735,47,231,712,414,626,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetales_unclassified,Actinomycetales_unclassified
Otu04,1,2,4,16,12,7,3,3,5,3,92,14,7,127,7621,287,182,97,596,154,57,8,96,378,61,63,39,78,103,321,177,169,233,215,10,4,20,9,14,4,2,22,24,208,344,7,323,323,115,25,321,23,1135,140,236,11,77,285,259,70,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified,Bacteria_unclassified
Otu05,0,0,0,0,0,0,0,0,0,0,51,0,0,0,5948,0,0,171,1546,2,0,0,0,0,0,0,1,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,1,0,0,196,0,0,2686,0,Actinobacteria,Actinobacteria,Acidimicrobiales,Acidimicrobiales_unclassified,Acidimicrobiales_unclassified
Otu06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,0,0,10,68,112,0,0,50,47,4,0,21,0,9,79,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,23,0,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonadaceae_unclassified
Otu07,0,1,2,8,2,0,3,15,9,3,28,10,7,25,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,49,13,3,3,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Verrucomicrobia,Spartobacteria,Spartobacteria_order_incertae_sedis,Spartobacteria_family_incertae_sedis,Spartobacteria_genera_incertae_sedis
Otu08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,0,0,18,42,21,0,0,15,19,0,0,1,0,5,19,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,10,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_unclassified,Rhizobiales_unclassified
Otu09,0,0,0,0,0,0,0,0,0,0,5,0,0,0,140,11,1,2,5,9,6,6,16,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,0,0,4,0,0,0,0,0,60,2,TM7,TM7_class_incertae_sedis,TM7_order_incertae_sedis,TM7_family_incertae_sedis,TM7_genus_incertae_sedis
Otu10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,2,0,1,14,0,3,1,31,Actinobacteria,Actinobacteria,Actinomycetales,Propionibacteriaceae,Propionibacterium
