"","colnamea","colnameb","jac","rand","wilcox_p_value","wilcox_statistic"
"W","otus.plain.nmf","otus.plain.nmf","1","1","1","1740.5"
"W","otus.plain.nmf","otus.log.nmf","0.864238410596026","0.952074810052601","0.277606675539462","1550"
"W","otus.plain.nmf","otus.norm.nmf","0.479616306954436","0.746347165400351","0.776341683150346","1691"
"W","otus.plain.nmf","otus.rarefy.nmf","0.412333736396614","0.715955581531268","0.0672181113220292","1421"
"W","otus.log.nmf","otus.log.nmf","1","1","1","1740.5"
"W","otus.log.nmf","otus.norm.nmf","0.479616306954436","0.746347165400351","0.507287344277595","1856"
"W","otus.log.nmf","otus.rarefy.nmf","0.443757725587145","0.736995908825248","0.40983228923646","1597"
"W","otus.norm.nmf","otus.norm.nmf","1","1","1","1740.5"
"W","otus.norm.nmf","otus.rarefy.nmf","0.314109165808445","0.610753945061368","0.180168276200069","1509.5"
"W","otus.rarefy.nmf","otus.rarefy.nmf","1","1","1","1740.5"
