"","colnamea","colnameb","jac","rand","wilcox_p_value","wilcox_statistic"
"W","otus.plain","otus.plain","1","1","1","2380.5"
"W","otus.plain","otus.log","0.905278737049827","0.918158567774936","0.377439447398264","2275"
"W","otus.plain","otus.norm","0.541171290180537","0.555839727195226","0.0149602111281273","2030.5"
"W","otus.plain","otus.rarefy","1","1","9.29977809915961e-24","301"
"W","otus.log","otus.log","1","1","1","2380.5"
"W","otus.log","otus.norm","0.492362982929021","0.518329070758738","0.110404244311482","2137"
"W","otus.log","otus.rarefy","0.905278737049827","0.918158567774936","3.80298562425283e-20","467"
"W","otus.norm","otus.norm","1","1","1","2380.5"
"W","otus.norm","otus.rarefy","0.541171290180537","0.555839727195226","1.5138537868173e-13","832"
"W","otus.rarefy","otus.rarefy","1","1","1","2380.5"
